User,Removed Trials,Calculated Trials,Less Than 150,Wrong Answers,Neutral Wrong,Negative Wrong,Distal Wrong,Proximal Wrong,Overall Standard Deviation,Overall Average,Neutral Standard Deviation,Neutral Average,Negative Standard Deviation,Negative Average,Distal Standard Deviation,Distal Average,Proximal Standard Deviation,Proximal Average,Negative Proximal Standard Deviation,Negative Proximal Average,Negative Distal Standard Deviation,Negative Distal Average,Neutral Proximal Standard Deviation,Neutral Proximal Average,Neutral Distal Standard Deviation,Neutral Distal Average
p6,8,120,0,8,3,5,3,5,0.2627701604066963,0.8951497733345589,0.2518756861472294,0.8794803606574294,0.27263290644964344,0.9113503525431167,0.27830457217486776,0.8525513081976437,0.23778577044846555,0.9391922542388272,0.22600394671533178,0.9030552206888123,0.31092406609564877,0.9193689800022774,0.24360128389709498,0.9741247200038416,0.22439098855765247,0.7878890451609013
p7,0,128,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
